ngram,mean,wheight,stdev
av räntesänkningar,9.82000000000005,4,3.8852026974148335
svagare dollar,-14.173333333333327,9,56.91176460100318
finnas på,-14.769999999999982,3,28.453658815695366
skattesänkningar och,-0.7649999999999864,2,8.152941187080874
skälet är,-10.242500000000064,4,11.17455256374936
till stor,-0.7142857142856818,7,13.306734957835936
seng stigande,4.329999999999927,2,0.0
räntehöjningen i,-2.8349999999999227,4,8.125919435157272
slutsats usa,2.0750000000000455,2,0.9263098833543386
handelsdagränta öppnar,-6.19999999999997,9,18.1005662894839
usa philly,6.75,3,24.163269646303974
ha på,0.5550000000000637,2,15.082587642709008
på dagens,-9.9733333333333,12,12.056698879825602
årets sista,-13.620000000000005,2,17.776664479029876
motiverar en,-1.1849999999999454,2,16.22810062823146
ecb lär,16.784999999999968,2,10.047987360660706
ögon kanske,4.329999999999927,2,0.0
mer duvaktigt,0.8999999999999773,2,10.804591616530427
usa oljelager,4.413999999999942,5,8.63529269915043
johnson kommer,4.652000000000044,5,10.781846780584484
strax innan,-4.767272727272732,11,18.652257284794825
årstakt vilket,-4.283333333333303,3,11.459250993556775
sysselsättningen i,-0.5866666666666637,3,5.5087778438899395
centralbanken på,-7.374999999999886,2,6.1023315216398215
brittiska premiärministern,-0.009999999999990905,2,12.92591196009023
mest i,-3.3974999999999795,4,3.695902009884272
dur och,26.519999999999982,2,0.551543289325327
stänger ner,-15.827499999999986,4,39.444999999999936
seb en,-10.44500000000005,2,26.566001769178545
frankrike kpi,-4.002999999999929,10,20.858588452295226
höll på,-28.355000000000018,2,7.41755013464705
en telefonkonferens,7.434999999999832,2,11.306637431172902
seng med,-7.2349999999999,2,3.28804653251751
imorgon kan,10.236666666666679,3,25.44030136089835
långa räntor,-27.28800000000001,5,74.27376905745386
deltar i,0.3053846153846,13,17.648431287881518
tillfällig paus,-1.1399999999999864,2,7.071067811865636
veckans viktigaste,-2.046814159292035,226,21.84250961427632
feb storbrit,-3.158000000000038,5,9.506427825424318
gårdagens räntebesked,0.876666666666703,3,6.703255428024057
maj usa,4.252000000000066,10,16.217152647736857
tillförsikten i,4.329999999999927,2,0.0
dämpa oron,10.464999999999918,2,16.921065273793968
bort i,-6.735000000000014,2,0.007071067811859044
import kv,-14.079999999999927,2,7.099352083112912
aktien föll,7.294999999999959,2,4.27799602617858
ny regeringskris,-4.9849999999999,2,19.96162443289625
presidentvalet till,-5.939999999999827,2,14.170419894978387
igång samtidigt,-0.525000000000091,2,4.419417382415922
tal bank,9.462500000000091,4,12.100695227961126
strömmen efter,0.5300000000000864,2,5.289158723275228
som publicerades,-2.9349999999999077,12,16.352873809156023
tog en,-0.9149999999999636,2,0.6151828996322192
industriproduktion jan,-23.475000000000023,2,43.43756956828966
är enligt,2.298000000000002,10,14.344298751304216
svensk kpi,-41.49000000000001,7,81.4258910502877
på nästan,18.28000000000002,5,16.51967160690547
tillväxt framöver,-9.789999999999964,2,13.166328265693437
har tagit,-4.231111111111129,9,23.952561681605335
tyska utfallet,4.1749999999999545,2,0.48790367901875636
direktionen håller,23.009999999999877,2,4.864894654563363
det känns,8.356666666666646,3,0.6812733176437952
räknar med,-0.24799999999999045,60,18.08881982639729
välja en,13.670000000000073,3,5.109549882328267
svag öppning,-3.244999999999891,2,2.552655480083527
vi oss,1.399000000000001,20,15.285363794028228
mötet i,2.474583333333328,24,17.941036996631283
har naturligtvis,19.875000000000114,2,8.845905832643703
tur att,3.4699999999999513,3,11.39907013751551
möten i,-5.290000000000039,3,15.858061041628039
generalstrejk i,-33.600000000000136,2,0.0
högsta nivån,9.749999999999984,15,14.247273924709749
räntesänkning redan,6.416666666666667,3,12.737646302725292
av läs,-2.5924999999999727,4,16.26245855746696
mest på,3.3050000000000637,2,9.015611460128481
halvåret i,-8.347142857142899,7,15.511750077801969
med ny,5.329999999999927,2,8.329717882377672
allt tydligare,-13.09000000000007,3,25.725802222671376
och som,1.0149999999999977,20,19.21541335819544
till bankerna,6.103333333333315,3,34.77718265376492
ersätta den,6.224999999999909,2,0.9263098833543386
sverige riksbanken,10.503999999999996,5,9.668199418712925
lång köpt,-3.939999999999941,2,3.6628131265463613
ligger det,-26.254999999999995,2,37.46958833507516
ekonomer är,6.215000000000032,2,9.779286783810061
rapporteras om,11.404999999999916,4,11.727064139559124
gårdagens besked,1.9399999999999409,6,15.607781392625919
inför eu,-2.963999999999987,5,20.829958713353246
bara dagar,-15.32000000000005,2,18.34234990397892
påverka norges,4.500000000000114,2,9.347951647286177
inför en,2.9420000000000526,5,22.861700942843143
motstånd mot,-2.230000000000132,2,41.21018320755197
ekot rapporterar,5.130000000000034,3,16.718106950250043
med negativa,6.710000000000036,3,15.89846533474217
economic forum,6.2799999999999345,6,9.853809415652435
tagit ett,-22.454999999999927,2,35.13613595715958
vidtar åtgärder,8.964999999999918,2,9.142890680741944
s cunliffe,-6.759999999999991,2,12.133952365161052
från prospera,-7.673333333333328,3,21.92027448124981
nivåerna sedan,6.652500000000003,8,16.28411473974381
riksbanken levererar,0.17000000000007276,2,9.772215715998202
det tydligt,3.6766666666666574,3,19.808862494684735
åren en,6.30000000000003,3,13.40680424262236
efter fallet,6.439999999999941,2,12.331942263893266
börserna uppåt,-1.3199999999999363,2,17.73423807215856
nedan amerikanska,-1.365000000000009,2,10.302545801888114
nu drygt,-15.575000000000045,2,19.070669888601046
steg med,1.3070370370370188,27,15.399751450245674
läggs fram,11.81499999999994,2,8.534778848921583
man bara,15.720000000000027,2,2.5738686835192643
syd koreas,4.1099999999999755,3,15.865585397330795
räcker med,-11.699999999999932,2,0.014142135623878865
och utbudsrestriktioner,2.4366666666666483,3,3.27934952899698
börjar nu,-12.009999999999991,6,41.04893664883407
trump till,-2.277500000000032,4,22.347344920594022
rörelser under,0.5099999999999909,2,6.1942554031939885
brittisk ekonomi,-6.673333333333403,3,7.505553499465004
som skyddar,6.050000000000068,2,3.6910973977937975
att avvika,-7.64333333333343,3,12.431855586891887
kinas tillväxt,-19.460999999999967,10,29.19476073620819
konjunkturbarometer fortsätter,-8.954999999999927,2,7.1912759646672395
skaka av,8.94500000000005,2,13.145115062257862
för investeringar,3.1399999999998727,3,11.408891269531937
valår och,-2.7350000000000136,2,1.7465537495307917
marginellt lägre,9.650000000000045,5,9.327974056567713
är tillfälligt,6.909999999999968,2,1.7394826817190934
skrivas under,11.448000000000047,5,14.855211880010392
en djup,-13.949999999999932,2,17.564532444673784
ett mandat,0.24500000000000455,2,4.999244942988846
rättvis konkurrensnivå,25.544999999999845,2,17.79787768246545
på morgon,8.80499999999995,2,24.501249968114095
fortsätter att,-4.518749999999987,104,27.68631654202212
någon eller,18.4849999999999,2,8.26607827207078
usa tullar,-0.875,4,24.00501961396136
börjat sätta,-3.2000000000000455,2,7.707463914933432
svag riskaptit,-21.40399999999995,5,13.638444926017097
penningpoliti ken,4.230000000000018,2,12.586500705120674
av penningpolitiken,3.1100000000000363,5,12.173428029934712
tjänstesektorn sammansatt,1.8199999999999363,5,0.0
oktober presenteras,16.62000000000012,2,0.0
till fed,-9.009999999999934,4,14.417993387893254
i bakgrunden,5.147499999999923,4,8.408953066028294
men därefter,28.019999999999868,2,22.075873708644032
båda dessa,8.559999999999945,2,9.531799410394674
ja till,15.379999999999972,5,11.647956902392869
under månaden,-10.415000000000077,2,45.12048370751372
oförändrad eller,9.979999999999905,2,25.37099130897324
nedåt av,0.20000000000004547,3,2.1477430013854235
och räknar,-2.8999999999999204,4,17.817528822295603
kpi kpi,9.113333333333332,9,7.130394449117125
där poddar,8.190000000000026,8,9.908198625380933
oro och,-38.47000000000003,2,0.0
centralbank höll,0.4299999999998363,2,12.360226535140864
på mötet,-3.8212499999999636,8,22.50220207478117
blir troligen,12.58500000000015,2,3.471894295626006
med så,6.086666666666663,3,8.527850452097098
budskap från,-8.555000000000064,2,0.8414570696120302
vaska fram,-5.92999999999995,2,16.150318882300688
en styrränta,6.955000000000041,2,2.5385133444596475
i global,6.747692307692257,13,18.38734852819824
bli något,3.999999999999924,3,11.38073371975635
var ännu,7.330000000000041,2,10.903586565896775
så det,-4.194999999999993,4,2.667889303050851
när bnp,5.014999999999986,2,12.565287501684777
nedan på,-9.109999999999976,3,20.829020620278907
har usa,-27.333333333333332,6,29.005606814315524
med fallan,-7.470000000000027,2,7.339768388716441
en svd,6.939999999999941,2,15.429069965490422
stark månad,-6.943333333333385,3,16.39238949431514
di se,-0.9850000000000136,2,11.264211024301748
detaljer om,4.076250000000016,8,10.143393257964195
allt med,3.4700000000000273,2,1.7253405460952145
sentiments indikatorer,-16.114999999999895,2,14.502760082136083
alla tre,0.5799999999999272,2,12.869343417595358
allt mer,-0.9837500000000432,8,25.93823043721923
har hittills,-8.919999999999996,9,12.224298548383022
vilket vi,-2.0150000000001,2,9.199459223237138
signalera en,-8.366666666666712,6,14.109665717750575
att ske,5.728333333333315,6,9.580558264875098
av fallande,-19.864999999999963,10,50.25917699507444
terminen indikerar,-15.279999999999973,3,12.654133711953609
dock zew,4.329999999999927,2,0.0
guidning vad,-1.009999999999991,2,9.602510088513263
som tog,3.0299999999999727,2,2.1071782079359243
kan trump,-7.32000000000005,2,7.0427835406178785
en historisk,-22.954999999999927,2,26.042742751100494
flesta bedömare,2.8799999999999955,2,12.360226535140702
på fortsatta,17.95750000000004,4,15.551594505601773
omröstningen för,15.4849999999999,2,15.506851711420872
går väldigt,-15.93500000000006,2,44.356808383831975
nya makroprognoser,0.7850000000000819,2,7.26198664278583
maj tyskland,-3.8860000000000583,5,11.493499467089997
börjar synas,-11.639999999999949,3,21.145384839250404
kl föregående,0.13640000000000327,25,14.42348717659266
håller med,-5.327142857142884,7,12.126606717305124
för demokraternas,-10.534999999999968,2,2.6657925650731107
att sysselsättningen,5.62800000000002,5,16.16076947425458
från igår,-13.713333333333443,3,5.663941501581186
fredags har,-42.15499999999997,2,62.798153237177246
amerikanska hushåll,-24.386666666666617,3,21.91294670584804
att återkomma,-4.819999999999936,3,4.810862708496243
lär också,20.257999999999857,5,16.402690937769957
första månaderna,-51.864999999999895,2,49.0661395465346
att ytterligare,3.1133333333333315,9,10.48587144685649
banks presskonferens,1.3000000000000302,3,7.364828579132182
senaste estimat,20.034999999999854,2,5.451793282948307
av mays,-0.57000000000005,2,7.87716954241821
i paritet,8.719999999999951,3,4.701180702759702
februari men,1.4600000000000364,3,26.494625870164786
möte med,-6.3230769230769095,13,47.579111030054506
ecb att,-0.4587500000000091,8,14.142944164595178
gälla i,6.2549999999999955,2,10.967226176203345
ändra bilden,-17.153333333333347,3,55.20798613727292
på presskonfe,16.62000000000012,2,0.0
kronan ganska,7.560000000000059,2,7.155920625607944
om mays,-2.2539999999999965,5,7.720720821270519
våra tankar,4.846666666666654,6,24.094912879416384
år kv,-13.70111111111108,9,16.449649270154985
kommande möte,-23.94999999999997,3,26.190442913398847
även omfattar,0.2633333333333212,3,19.362526522469395
hyfsad tillväxt,3.2200000000000273,3,18.658218028525624
tryck att,-4.219999999999914,2,6.95793072687557
får makroekonomiska,-29.059999999999945,2,0.0
penning och,19.960000000000036,3,9.329571265604878
har makt,-3.310000000000059,2,32.35720630709641
mycket till,5.183333333333394,3,3.2643273937112087
fortsätter därmed,-2.784999999999968,2,0.4030508652762871
avstår från,-1.3999999999999393,3,21.63926292644918
om folkomröstning,-16.36999999999989,2,18.61105048083005
tillväxt kommer,-15.086666666666588,3,24.896132899173978
med flera,12.247142857142828,7,15.97727314477836
har haft,0.44874999999998977,8,7.456928585454701
på inslagen,10.729999999999905,2,11.808683245815375
varit relativt,-8.027499999999975,4,7.30569355594195
från euroområdet,-11.017500000000041,4,22.646723640885916
dollar trump,-12.55499999999995,2,14.927024150847947
och fortsätter,0.6012500000000216,8,14.309064497223877
om vart,3.324999999999932,2,11.278353159925466
beslut som,2.79333333333337,3,16.381246391325934
samt hur,14.909999999999968,2,19.12016736328438
kommer att,1.3441630901287596,233,19.42680860326187
centralbankstal av,0.30750000000000455,4,22.77205945158817
strafftullar på,3.7766666666667184,3,21.358563466051123
de eu,-3.2899999999999636,2,0.0
i sparlåga,-35.549999999999955,2,0.0
något på,-8.956666666666592,6,20.8209573907318
att driva,2.4550000000000125,8,14.180850266669964
av totalt,14.220000000000027,2,12.275373721398555
väntar oss,0.19040000000001328,50,17.04131701339485
fast att,2.840000000000032,2,8.358002153624946
huspriser i,-2.7100000000000364,4,13.454766193930498
huspriser m,4.885000000000105,2,0.388908729652569
i enskilda,10.235000000000014,2,25.731615767378536
föll även,12.443333333333308,3,8.179494686918861
har fungerat,8.419999999999959,2,18.483771260216425
att dominera,6.5849999999999795,4,11.662642639356376
träffa irlands,9.389999999999986,2,0.9050966799187615
och därefter,-6.031999999999971,5,25.728814002981125
på bnp,4.02499999999992,4,8.53296548686326
hotell och,-31.11500000000001,2,78.41107096577616
å mar,17.17333333333333,3,8.438082325583895
eventuella negativa,18.4533333333333,3,5.233701685550519
för svenskt,1.6933333333333092,3,9.887898327416869
för svenska,-2.550000000000042,13,22.374529790217533
stabilisering i,10.884000000000105,5,18.937990389690306
parlamentet och,5.260000000000011,11,10.083732443891991
mot nya,17.135000000000048,4,9.82907761016596
expansion och,4.329999999999927,2,0.0
kräver majoritet,-2.1749999999999545,2,22.365787488930575
ett test,-16.25999999999999,3,47.32989858429885
begärt att,1.375,2,1.2374368670764582
svalnat betydligt,-0.7949999999999591,2,13.498668452851135
främst en,-1.3466666666666545,3,5.841586542484349
under när,17.055000000000064,2,6.2720371491246
i höstas,-8.773999999999978,5,17.728008348373457
vi närmar,-12.955000000000041,2,21.686964978991302
allt annat,14.739999999999895,6,17.25634144307532
publicerar fed,4.649999999999977,2,7.113494218736791
fel är,0.4750000000001364,2,13.654231944712194
ytterligare något,2.5,4,7.744705718532375
och efterlyser,-103.56499999999994,2,79.57072608692218
närmare till,-47.60500000000002,2,55.09068932224381
kalifornien är,-16.845000000000027,2,11.589480143647425
brexit förhandlingarna,-1.3433333333333242,3,35.72347174244607
än förra,8.126666666666628,3,11.882341239559386
från många,18.629999999999995,2,13.265323215059624
månatlig rapport,13.56499999999994,2,6.215468606629887
och hongkong,2.5424999999999898,8,24.817926556653113
ta in,-2.435000000000059,2,8.308504678942095
att dras,-4.819999999999936,2,10.196479784710066
davos börjar,4.329999999999927,2,0.0
siffrorna för,6.330000000000041,2,9.446946596652204
inför stundande,-3.784999999999968,2,6.569021997223161
sprider sig,5.394999999999982,2,10.93894190495607
båten efter,16.62000000000012,2,0.0
som om,-6.214999999999975,4,31.345079890364516
prisa in,-13.92799999999993,5,26.45153341490815
dagens svenska,-0.4900000000000091,3,13.481557773491852
till viss,-6.87800000000002,5,24.726608542216233
förslag om,-3.69571428571427,7,9.631147140299287
nära och,12.964999999999975,4,16.423750079280644
