date,high,low,close,mean,vol,Oms,open
2015-05-26,"1656,98","1636,16","1638,49",,1,,"1650,69"
2015-05-25,"1650,69","1639,10","1650,69",,1,,"1648,46"
2015-05-22,"1653,71","1639,39","1648,46",,1,,"1642,19"
2015-05-21,"1642,19","1627,80","1642,19",,1,,"1637,48"
2015-05-20,"1637,70","1626,59","1637,48",,1,,"1633,26"
2015-05-19,"1637,05","1620,76","1633,26",,1,,"1622,57"
2015-05-18,"1626,79","1611,59","1622,57",,1,,"1616,48"
2015-05-15,"1637,11","1615,02","1616,48",,1,,"1622,01"
2015-05-13,"1622,03","1603,95","1622,01",,1,,"1600,10"
2015-05-12,"1609,89","1589,66","1600,10",,1,,"1617,03"
2015-05-11,"1625,17","1607,64","1617,03",,1,,"1616,45"
2015-05-08,"1619,01","1580,13","1616,45",,1,,"1587,65"
2015-05-07,"1594,42","1558,16","1587,65",,1,,"1584,18"
2015-05-06,"1602,48","1573,90","1584,18",,1,,"1595,48"
2015-05-05,"1640,68","1595,38","1595,48",,1,,"1634,10"
2015-05-04,"1644,30","1630,29","1634,10",,1,,"1628,04"
2015-04-30,"1642,97","1615,45","1628,04",,1,,"1636,18"
2015-04-29,"1691,04","1632,68","1636,18",,1,,"1679,52"
2015-04-28,"1715,90","1671,51","1679,52",,1,,"1719,93"
2015-04-27,"1720,02","1697,81","1719,93",,1,,"1698,51"
2015-04-24,"1700,23","1689,89","1698,51",,1,,"1689,77"
2015-04-23,"1716,89","1681,26","1689,77",,1,,"1706,25"
2015-04-22,"1713,48","1685,60","1706,25",,1,,"1694,73"
2015-04-21,"1697,50","1679,36","1694,73",,1,,"1678,28"
2015-04-20,"1678,39","1658,88","1678,28",,1,,"1655,72"
2015-04-17,"1690,08","1655,72","1655,72",,1,,"1690,93"
2015-04-16,"1710,83","1690,93","1690,93",,1,,"1710,61"
2015-04-15,"1714,62","1699,48","1710,61",,1,,"1701,39"
2015-04-14,"1709,01","1694,98","1701,39",,1,,"1700,36"
2015-04-13,"1701,08","1688,61","1700,36",,1,,"1699,96"
2015-04-10,"1699,98","1692,54","1699,96",,1,,"1695,94"
2015-04-09,"1695,94","1687,16","1695,94",,1,,"1686,77"
2015-04-08,"1701,58","1686,26","1686,77",,1,,"1697,43"
2015-04-07,"1700,63","1687,96","1697,43",,1,,"1675,52"
2015-04-02,"1675,57","1668,86","1675,52",,1,,"1669,49"
2015-04-01,"1677,66","1654,99","1669,49",,1,,"1667,73"
2015-03-31,"1689,22","1666,74","1667,73",,1,,"1687,17"
2015-03-30,"1687,17","1669,52","1687,17",,1,,"1662,56"
2015-03-27,"1681,62","1662,31","1662,56",,1,,"1675,61"
2015-03-26,"1675,94","1654,04","1675,61",,1,,"1694,39"
2015-03-25,"1705,56","1688,99","1694,39",,1,,"1701,29"
2015-03-24,"1704,05","1691,96","1701,29",,1,,"1698,38"
2015-03-23,"1708,57","1695,37","1698,38",,1,,"1710,87"
2015-03-20,"1710,92","1696,48","1710,87",,1,,"1707,50"
2015-03-19,"1719,44","1699,31","1707,50",,1,,"1703,96"
2015-03-18,"1710,17","1674,25","1703,96",,1,,"1675,88"
2015-03-17,"1691,64","1666,74","1675,88",,1,,"1689,67"
2015-03-16,"1690,27","1671,06","1689,67",,1,,"1665,13"
2015-03-13,"1669,74","1660,47","1665,13",,1,,"1661,69"
2015-03-12,"1666,78","1653,24","1661,69",,1,,"1663,31"
2015-03-11,"1667,91","1634,80","1663,31",,1,,"1641,71"
2015-03-10,"1661,78","1640,25","1641,71",,1,,"1660,36"
2015-03-09,"1666,05","1642,46","1660,36",,1,,"1662,55"
2015-03-06,"1675,29","1661,65","1662,55",,1,,"1669,56"
2015-03-05,"1678,54","1669,11","1669,56",,1,,"1664,50"
2015-03-04,"1667,19","1643,62","1664,50",,1,,"1661,87"
2015-03-03,"1694,29","1660,29","1661,87",,1,,"1686,64"
2015-03-02,"1701,07","1675,98","1686,64",,1,,"1691,03"
2015-02-27,"1695,37","1679,21","1691,03",,1,,"1684,83"
2015-02-26,"1686,05","1678,20","1684,83",,1,,"1678,73"
2015-02-25,"1685,67","1675,38","1678,73",,1,,"1683,92"
2015-02-24,"1685,65","1666,93","1683,92",,1,,"1679,48"
2015-02-23,"1679,49","1667,68","1679,48",,1,,"1664,33"
2015-02-20,"1665,07","1652,85","1664,33",,1,,"1662,24"
2015-02-19,"1662,24","1642,60","1662,24",,1,,"1652,15"
2015-02-18,"1652,38","1634,67","1652,15",,1,,"1630,99"
2015-02-17,"1639,08","1625,19","1630,99",,1,,"1644,29"
2015-02-16,"1644,29","1637,17","1644,29",,1,,"1642,04"
2015-02-13,"1643,85","1628,48","1642,04",,1,,"1624,35"
2015-02-12,"1631,27","1594,30","1624,35",,1,,"1593,03"
2015-02-11,"1604,97","1589,36","1593,03",,1,,"1602,74"
2015-02-10,"1605,94","1583,04","1602,74",,1,,"1591,40"
2015-02-09,"1593,18","1582,56","1591,40",,1,,"1599,55"
2015-02-06,"1601,12","1580,99","1599,55",,1,,"1586,13"
2015-02-05,"1588,32","1572,72","1586,13",,1,,"1579,31"
2015-02-04,"1596,27","1574,00","1579,31",,1,,"1593,42"
2015-02-03,"1594,63","1581,16","1593,42",,1,,"1575,95"
2015-02-02,"1579,02","1567,63","1575,95",,1,,"1573,62"
2015-01-30,"1582,10","1572,55","1573,62",,1,,"1570,39"
2015-01-29,"1570,84","1550,11","1570,39",,1,,"1562,54"
2015-01-28,"1562,54","1539,15","1562,54",,1,,"1533,37"
2015-01-27,"1554,66","1525,44","1533,37",,1,,"1554,70"
2015-01-26,"1554,70","1527,36","1554,70",,1,,"1536,39"
2015-01-23,"1540,91","1530,36","1536,39",,1,,"1523,80"
2015-01-22,"1526,46","1501,48","1523,80",,1,,"1501,22"
2015-01-21,"1501,22","1483,26","1501,22",,1,,"1491,59"
2015-01-20,"1498,27","1480,62","1491,59",,1,,"1476,31"
2015-01-19,"1479,81","1466,78","1476,31",,1,,"1468,90"
2015-01-16,"1470,47","1447,41","1468,90",,1,,"1457,36"
2015-01-15,"1458,00","1421,84","1457,36",,1,,"1434,79"
2015-01-14,"1459,68","1434,79","1434,79",,1,,"1465,66"
2015-01-13,"1468,85","1449,84","1465,66",,1,,"1453,64"
2015-01-12,"1460,11","1444,55","1453,64",,1,,"1444,46"
2015-01-09,"1460,99","1439,15","1444,46",,1,,"1456,72"
2015-01-08,"1458,17","1428,54","1456,72",,1,,"1421,34"
2015-01-07,"1441,31","1421,34","1421,34",,1,,"1454,81"
2015-01-05,"1467,69","1453,53","1454,81",,1,,"1463,78"
2015-01-02,"1472,61","1460,67","1463,78",,1,,"1464,55"
2014-12-30,"1476,33","1463,13","1464,55",,1,,"1478,93"
2014-12-29,"1479,37","1470,66","1478,93",,1,,"1470,49"
2014-12-23,"1472,00","1460,18","1470,49",,1,,"1461,75"
2014-12-22,"1465,33","1453,66","1461,75",,1,,"1452,36"
2014-12-19,"1456,51","1435,27","1452,36",,1,,"1441,85"
2014-12-18,"1441,85","1419,99","1441,85",,1,,"1405,35"
2014-12-17,"1409,12","1397,80","1405,35",,1,,"1413,58"
2014-12-16,"1414,60","1386,61","1413,58",,1,,"1408,75"
2014-12-15,"1438,39","1408,75","1408,75",,1,,"1425,86"
2014-12-12,"1450,46","1425,86","1425,86",,1,,"1454,45"
2014-12-11,"1459,45","1445,45","1454,45",,1,,"1452,80"
2014-12-10,"1462,71","1450,49","1452,80",,1,,"1452,24"
2014-12-09,"1466,47","1447,96","1452,24",,1,,"1467,88"
2014-12-08,"1472,66","1466,19","1467,88",,1,,"1474,70"
2014-12-05,"1474,70","1455,93","1474,70",,1,9459237207,"1447,82"
2014-12-04,"1471,92","1447,18","1447,82",,1,10621084908,"1464,84"
2014-12-03,"1466,02","1452,13","1464,84",,1,9562337021,"1450,07"
2014-12-02,"1463,44","1447,97","1450,07",,1,9494052428,"1450,03"
2014-12-01,"1456,90","1447,78","1450,03",,1,10364089514,"1461,34"
2014-11-28,"1466,15","1453,77","1461,34",,1,10447481462,"1465,96"
2014-11-27,"1467,31","1458,62","1465,96",,1,6108925709,"1457,81"
2014-11-26,"1474,89","1455,50","1457,81",,1,8356773551,"1467,36"
2014-11-25,"1467,97","1455,35","1467,36",,1,10815581357,"1456,59"
2014-11-24,"1456,59","1445,15","1456,59",,1,8936888574,"1447,53"
2014-11-21,"1447,53","1424,16","1447,53",,1,12555430833,"1423,71"
2014-11-20,"1430,41","1418,61","1423,71",,1,9328296885,"1428,01"
2014-11-19,"1432,58","1426,04","1428,01",,1,7661310127,"1432,38"
2014-11-18,"1432,38","1419,31","1432,38",,1,9987914742,"1419,92"
2014-11-17,"1421,82","1408,35","1419,92",,1,7674321820,"1415,60"
2014-11-14,"1424,40","1411,58","1415,60",,1,8238799926,"1422,76"
2014-11-13,"1423,13","1412,68","1422,76",,1,9400732199,"1408,86"
2014-11-12,"1426,14","1408,86","1408,86",,1,8730350215,"1424,93"
2014-11-11,"1425,06","1418,78","1424,93",,1,8159568292,"1417,82"
2014-11-10,"1417,95","1406,71","1417,82",,1,7790537704,"1410,88"
2014-11-07,"1422,11","1404,98","1410,88",,1,9783722635,"1415,30"
2014-11-06,"1422,61","1406,31","1415,30",,1,12605367990,"1414,09"
2014-11-05,"1414,09","1406,49","1414,09",,1,10125107740,"1399,87"
2014-11-04,"1407,51","1397,34","1399,87",,1,10005512888,"1399,05"
2014-11-03,"1414,93","1396,23","1399,05",,1,10537108846,"1412,84"
2014-10-31,"1414,08","1404,19","1412,84",,1,7036500510,"1397,18"
2014-10-30,"1398,02","1379,91","1397,18",,1,11181880333,"1389,95"
2014-10-29,"1393,46","1383,49","1389,95",,1,12362124343,"1380,83"
2014-10-28,"1381,29","1364,86","1380,83",,1,12960912270,"1360,33"
2014-10-27,"1374,07","1348,79","1360,33",,1,11079799283,"1358,57"
2014-10-24,"1367,34","1353,82","1358,57",,1,13121780038,"1361,88"
2014-10-23,"1363,70","1336,11","1361,88",,1,13636053889,"1344,34"
2014-10-22,"1348,15","1334,13","1344,34",,1,13160500593,"1338,12"
2014-10-21,"1338,12","1301,51","1338,12",,1,14670202815,"1306,44"
2014-10-20,"1310,83","1293,24","1306,44",,1,12280976932,"1310,46"
2014-10-17,"1310,46","1267,78","1310,46",,1,15200962300,"1271,01"
2014-10-16,"1285,33","1246,56","1271,01",,1,19271195764,"1269,91"
2014-10-15,"1309,03","1269,91","1269,91",,1,17308239971,"1307,86"
2014-10-14,"1308,93","1287,73","1307,86",,1,12827351809,"1294,64"
2014-10-13,"1308,02","1289,33","1294,64",,1,10367619208,"1302,34"
2014-10-10,"1316,93","1297,46","1302,34",,1,12759660460,"1322,31"
2014-10-09,"1348,81","1316,15","1322,31",,1,11992613698,"1331,83"
2014-10-08,"1336,43","1325,99","1331,83",,1,10712782468,"1337,63"
2014-10-07,"1364,04","1337,63","1337,63",,1,11861366442,"1365,71"
2014-10-06,"1380,73","1365,67","1365,71",,1,8501177072,"1369,52"
2014-10-03,"1371,42","1360,97","1369,52",,1,8164771914,"1353,93"
2014-10-02,"1382,22","1353,93","1353,93",,1,11490184558,"1381,59"
2014-10-01,"1399,80","1381,59","1381,59",,1,10981701752,"1403,00"
2014-09-30,"1403,22","1390,89","1403,00",,1,11014117081,"1392,39"
2014-09-29,"1400,11","1384,09","1392,39",,1,7409696359,"1396,20"
2014-09-26,"1400,31","1387,31","1396,20",,1,9194857487,"1393,09"
2014-09-25,"1413,88","1391,01","1393,09",,1,11991921398,"1411,23"
2014-09-24,"1411,23","1399,40","1411,23",,1,11918910964,"1405,32"
2014-09-23,"1417,48","1405,32","1405,32",,1,12799787768,"1418,29"
2014-09-22,"1423,60","1412,79","1418,29",,1,8874863159,"1421,48"
2014-09-19,"1424,22","1418,23","1421,48",,1,11654194301,"1416,79"
2014-09-18,"1416,80","1406,84","1416,79",,1,10588779877,"1407,04"
2014-09-17,"1409,12","1399,29","1407,04",,1,8615436365,"1395,29"
2014-09-16,"1395,29","1384,55","1395,29",,1,8575620405,"1393,22"
2014-09-15,"1396,87","1380,22","1393,22",,1,8235261947,"1388,59"
2014-09-12,"1389,60","1383,12","1388,59",,1,7781717903,"1382,85"
2014-09-11,"1394,05","1378,44","1382,85",,1,9486212861,"1387,38"
2014-09-10,"1388,31","1376,18","1387,38",,1,8849762456,"1382,78"
2014-09-09,"1391,31","1382,56","1382,78",,1,8882794282,"1392,73"
2014-09-08,"1392,73","1383,35","1392,73",,1,8833044889,"1388,39"
2014-09-05,"1398,05","1384,86","1388,39",,1,9618891572,"1397,99"
2014-09-04,"1402,34","1392,20","1397,99",,1,10135398908,"1398,48"
2014-09-03,"1402,18","1391,88","1398,48",,1,9601145983,"1387,94"
2014-09-02,"1391,94","1384,69","1387,94",,1,7539048881,"1386,97"
2014-09-01,"1393,59","1382,47","1386,97",,1,6428018904,"1388,89"
2014-08-29,"1388,99","1382,10","1388,89",,1,8309239749,"1383,03"
2014-08-28,"1394,83","1380,59","1383,03",,1,8955783414,"1397,41"
2014-08-27,"1398,48","1392,81","1397,41",,1,6803073704,"1397,54"
2014-08-26,"1397,54","1388,73","1397,54",,1,6898188979,"1394,69"
2014-08-25,"1394,69","1385,56","1394,69",,1,5878598034,"1382,72"
2014-08-22,"1388,07","1378,17","1382,72",,1,6401152720,"1385,03"
2014-08-21,"1385,18","1373,38","1385,03",,1,8321437031,"1373,50"
2014-08-20,"1381,02","1367,87","1373,50",,1,6923575045,"1376,61"
2014-08-19,"1376,61","1369,60","1376,61",,1,6750807371,"1369,32"
2014-08-18,"1369,32","1362,32","1369,32",,1,6121855647,"1352,98"
2014-08-15,"1368,51","1352,98","1352,98",,1,8584667200,"1353,94"
2014-08-14,"1357,64","1350,04","1353,94",,1,6724439370,"1361,82"
2014-08-13,"1361,82","1354,81","1361,82",,1,7915946321,"1349,96"
2014-08-12,"1356,50","1346,93","1349,96",,1,7858729222,"1357,36"
2014-08-11,"1358,16","1339,83","1357,36",,1,8172141686,"1331,56"
2014-08-08,"1333,85","1320,99","1331,56",,1,8538086287,"1334,40"
2014-08-07,"1349,70","1334,06","1334,40",,1,7857918805,"1344,30"
2014-08-06,"1358,48","1342,19","1344,30",,1,9758437909,"1366,13"
2014-08-05,"1368,29","1360,47","1366,13",,1,6272728986,"1361,03"
2014-08-04,"1371,54","1360,14","1361,03",,1,6129235711,"1361,44"
2014-08-01,"1383,55","1360,53","1361,44",,1,8270819176,"1379,87"
2014-07-31,"1400,36","1377,29","1379,87",,1,8252777627,"1398,23"
2014-07-30,"1402,96","1395,86","1398,23",,1,5803882852,"1397,89"
2014-07-29,"1404,72","1397,18","1397,89",,1,5032878779,"1400,87"
2014-07-28,"1408,20","1395,23","1400,87",,1,5188109015,"1404,12"
2014-07-25,"1408,57","1401,00","1404,12",,1,5997557462,"1405,70"
2014-07-24,"1407,55","1397,04","1405,70",,1,7560161347,"1398,13"
2014-07-23,"1401,91","1395,34","1398,13",,1,7575443374,"1399,09"
2014-07-22,"1399,09","1389,98","1399,09",,1,7951341798,"1383,53"
